,EnrollMent,Name,Gender,Contact Number,City,OS,DMATHS,OOPJ,PEM,COA
0,1.8028E+11,pawan kumar,m,925-001-1948,Surat,60,64,68,65,60
1,1.8028E+11,sajid,m,187-532-0745,Bhuj,60,60,66,62,67
2,1.8028E+11,dakshina murthi,m,826-564-9053,Amreli,64,60,62,65,66
3,1.8028E+11,sohan singh urf rupsingh,m,474-640-1804,Vadodara,62,65,62,67,69
4,1.8028E+11,rajendra pal,m,524-811-1376,Gandhinagar,64,66,65,63,70
5,1.8028E+11,naveen kumar,m,384-037-9512,Bhuj,69,61,66,68,69
6,1.8028E+11,banwarilal,m,338-009-8732,Ahmedabad,67,61,65,62,69
7,1.8028E+11,ravi kumar,m,121-845-2795,Surat,65,62,66,63,64
8,1.8028E+11,rasab,m,815-816-0512,Ahmedabad,65,68,62,67,64
9,1.8028E+11,ajay,m,966-033-2416,Gandhinagar,66,60,67,60,69
10,1.8028E+11,shelesh,m,486-037-6264,Bhuj,67,61,64,63,61
11,1.8028E+11,pitar topo,m,747-785-8524,Vadodara,66,70,65,65,66
12,1.8028E+11,siraj,m,997-138-4165,Surat,69,66,63,67,70
13,1.8028E+11,bisto,m,373-368-4150,Ahmedabad,64,62,62,64,60
14,1.8028E+11,kishan sharma,m,187-748-1747,Rajkot,66,65,62,66,60
15,1.8028E+11,surender kumar,m,760-375-4316,Gandhinagar,66,62,68,68,67
16,1.8028E+11,parveen suyal,m,313-451-5240,Vadodara,60,69,65,67,70
17,1.8028E+11,lokesh,m,646-443-2307,Gandhinagar,61,66,68,70,66
18,1.8028E+11,sanpat,m,236-858-0068,Rajkot,70,63,67,65,62
19,1.8028E+11,mukesh kumar,m,185-785-0970,Surat,60,67,66,63,70
20,1.8028E+11,khalid,m,311-010-7530,Vadodara,60,67,66,62,67
21,1.8028E+11,sandee[,m,294-459-4841,Bhavnagar,65,67,64,69,69
22,1.8028E+11,phool chand,m,871-174-4374,Bhuj,68,65,65,63,65
23,1.8028E+11,vipin,m,777-466-6746,Rajkot,70,64,66,64,63
24,1.8028E+11,ravi swarnkar,m,331-234-6032,Amreli,70,68,61,65,67
25,1.8028E+11,aanad prkash goyal,m,820-675-0309,Bhavnagar,61,62,65,62,66
26,1.8028E+11,beragi singh,m,884-187-0262,Amreli,62,61,70,69,64
27,1.8028E+11,sunil,m,150-330-1491,Vadodara,62,69,60,65,69
28,1.8028E+11,nagender,m,303-330-1185,Bhavnagar,63,69,70,70,61
29,1.8028E+11,boby,m,645-507-6337,Surat,68,60,67,67,63
30,1.8028E+11,krishan,m,865-190-2975,Surat,62,64,67,62,60
31,1.8028E+11,kishor negi,m,738-718-9914,Bhuj,70,67,63,66,61
32,1.8028E+11,ajay kumar,m,762-319-3684,Surat,66,64,65,60,69
33,1.8028E+11,sachin,m,989-348-5093,Ahmedabad,67,64,65,65,63
34,1.8028E+11,sarik,m,576-195-2769,Amreli,61,62,70,66,68
35,1.8028E+11,mubashir ali,m,181-169-2191,Ahmedabad,62,61,61,70,63
36,1.8028E+11,heera lal,m,260-389-2524,Surat,66,64,70,68,69
37,1.8028E+11,deshraj,m,116-515-8520,Gandhinagar,69,69,70,61,62
38,1.8028E+11,mohd. salim,m,982-403-7435,Ahmedabad,69,64,70,68,67
39,1.8028E+11,narender singh,m,878-143-1625,Surat,66,62,65,62,66
40,1.8028E+11,kamlesh,m,742-315-7261,Rajkot,70,66,65,61,62
41,1.8028E+11,deepu kumar,m,467-399-9048,Amreli,63,61,68,65,62
42,1.8028E+11,moshin raza,m,212-488-8915,Vadodara,69,62,64,60,66
43,1.8028E+11,shyam pratap singh @ happy,m,711-196-2833,Rajkot,70,66,63,64,66
44,1.8028E+11,vishal,m,766-123-4771,Ahmedabad,69,65,60,69,66
45,1.8028E+11,aamir,m,308-430-7932,Vadodara,61,62,60,66,68
46,1.8028E+11,vipin kumar,m,963-008-2859,Amreli,64,61,70,66,70
